name	tissue	gender	race	project	num_samples	median_PC	median_LNC	median_EB
Brain_Hypothalamus-female-black_or_african_american_gtex	Brain_Hypothalamus	female	black_or_african_american	gtex	2	3.4633104999999995	1.94849825	1.58179
Thymus-male-asian_tcga	Thymus	male	asian	tcga	6	4.8345315	2.1419099999999998	1.6411677500000001
Artery_Coronary-female-asian_gtex	Artery_Coronary	female	asian	gtex	4	4.7972795	2.0425705	1.6871535
Colorectal-male-white_tcga	Colorectal	male	white	tcga	158	4.926171500000001	1.909128	1.5415065000000001
Brain_Cerebellum-male-white_gtex	Brain_Cerebellum	male	white	gtex	157	4.462591000000001	2.388597	1.862746
Uterus-female-black_or_african_american_tcga	Uterus	female	black_or_african_american	tcga	75	4.674768	1.9370159999999998	1.5757379999999999
Liver-male-black_or_african_american_tcga	Liver	male	black_or_african_american	tcga	14	4.5036337500000005	2.0852440000000003	1.7194542499999999
Esophagus_GastroesophagealJunction-female-asian_gtex	Esophagus_GastroesophagealJunction	female	asian	gtex	4	4.8310805000000006	2.0534495	1.6778469999999999
Bladder-male-black_or_african_american_tcga	Bladder	male	black_or_african_american	tcga	13	4.870243	1.934884	1.5584209999999998
Bone_Marrow-male-black_or_african_american_tcga	Bone_Marrow	male	black_or_african_american	tcga	7	3.050175	1.8517860000000002	1.758946
Brain_CerebellarHemisphere-female-asian_gtex	Brain_CerebellarHemisphere	female	asian	gtex	1	4.822794999999999	2.439299	1.8930515
Brain_Caudate_basalganglia_-male-white_gtex	Brain_Caudate_basalganglia_	male	white	gtex	162	3.3638545	1.94141825	1.5886425
MinorSalivaryGland-male-white_gtex	MinorSalivaryGland	male	white	gtex	95	3.8915620000000004	1.925831	1.6168685
Lung-female-asian_tcga	Lung	female	asian	tcga	6	4.373425	1.9079175	1.552104
Colon_Transverse-female-white_gtex	Colon_Transverse	female	white	gtex	125	3.973786	1.9651200000000002	1.6059725
Bladder-male-asian_tcga	Bladder	male	asian	tcga	36	4.3702682500000005	1.95656375	1.5902555
Head_and_Neck-male-white_tcga	Head_and_Neck	male	white	tcga	307	4.9389565	1.9002124999999999	1.6225684999999999
Prostate-male-asian_tcga	Prostate	male	asian	tcga	12	5.105002000000001	2.0161025	1.639149
Heart_AtrialAppendage-female-black_or_african_american_gtex	Heart_AtrialAppendage	female	black_or_african_american	gtex	22	3.3928405	1.7827860000000002	1.545883
Nerve_Tibial-male-black_or_african_american_gtex	Nerve_Tibial	male	black_or_african_american	gtex	52	4.6773715	2.0818294999999996	1.778688
Brain--_tcga	Brain			tcga	2	4.9437999999999995	1.9973515	1.62402675
Muscle_Skeletal-male-unknown_gtex	Muscle_Skeletal	male	unknown	gtex	6	3.8400274999999997	1.891373	1.6700295
Liver-male-not_reported_tcga	Liver	male	not_reported	tcga	7	4.39082	2.13143	1.7723119999999999
Muscle_Skeletal-male-black_or_african_american_gtex	Muscle_Skeletal	male	black_or_african_american	gtex	67	4.041534	1.986792	1.6400560000000002
Head_and_Neck-female-not_reported_tcga	Head_and_Neck	female	not_reported	tcga	3	4.761305	1.9116785000000003	1.711458
Bladder-female-black_or_african_american_tcga	Bladder	female	black_or_african_american	tcga	10	4.749195	2.0473149999999998	1.51888025
Thymus-male-white_tcga	Thymus	male	white	tcga	36	4.803669	2.18975675	1.6414900000000001
Thyroid-male-unknown_gtex	Thyroid	male	unknown	gtex	6	4.414481	2.0623424999999997	1.7339497499999998
Artery_Coronary-female-white_gtex	Artery_Coronary	female	white	gtex	78	4.4932545	1.9607585	1.65643
Heart_LeftVentricle-male-black_or_african_american_gtex	Heart_LeftVentricle	male	black_or_african_american	gtex	26	3.187529	1.782258	1.54945725
Brain_Putamen_basalganglia_-male-white_gtex	Brain_Putamen_basalganglia_	male	white	gtex	140	3.1246155	1.9043005	1.57264875
Colorectal-male-asian_tcga	Colorectal	male	asian	tcga	9	5.249625	1.9261110000000001	1.5767950000000002
Colon_Sigmoid-female-black_or_african_american_gtex	Colon_Sigmoid	female	black_or_african_american	gtex	15	4.512738	2.011875	1.6750525
Brain_Putamen_basalganglia_-male-black_or_african_american_gtex	Brain_Putamen_basalganglia_	male	black_or_african_american	gtex	15	3.2105734999999997	1.9487189999999999	1.591269
Pancreas-female-not_reported_tcga	Pancreas	female	not_reported	tcga	3	4.290668	1.826546	1.54457
Head_and_Neck-male-asian_tcga	Head_and_Neck	male	asian	tcga	6	5.1111485000000005	1.9709664999999998	1.671029
Prostate-male-white_tcga	Prostate	male	white	tcga	415	4.982429	2.030156	1.617949
Brain_FrontalCortex_BA9_-female-white_gtex	Brain_FrontalCortex_BA9_	female	white	gtex	52	4.00529375	2.016737	1.61046475
Esophagus_GastroesophagealJunction-female-white_gtex	Esophagus_GastroesophagealJunction	female	white	gtex	107	4.392289	2.023225	1.6500095
Brain_CerebellarHemisphere-female-white_gtex	Brain_CerebellarHemisphere	female	white	gtex	52	4.57972125	2.408566	1.8665720000000001
Brain_Amygdala-male-white_gtex	Brain_Amygdala	male	white	gtex	98	3.134398	1.9039565	1.569251
Colon_Transverse-female-asian_gtex	Colon_Transverse	female	asian	gtex	4	4.100697	1.9235885000000001	1.5865169999999997
MinorSalivaryGland-male-asian_gtex	MinorSalivaryGland	male	asian	gtex	1	3.7203349999999995	1.892841	1.5772110000000001
Lung-female-white_tcga	Lung	female	white	tcga	319	4.511981	1.82328	1.492174
Bladder-male-white_tcga	Bladder	male	white	tcga	246	4.63581825	1.96862675	1.5267595
Esophagus_GastroesophagealJunction-male-white_gtex	Esophagus_GastroesophagealJunction	male	white	gtex	208	4.295796	1.9985345000000003	1.6707727499999998
Soft_Tissue-female-not_reported_tcga	Soft_Tissue	female	not_reported	tcga	7	5.264911	1.9557189999999998	1.569542
Bladder-female-not_reported_tcga	Bladder	female	not_reported	tcga	7	4.781261	2.0283239999999996	1.5680035
Breast_MammaryTissue-male-asian_gtex	Breast_MammaryTissue	male	asian	gtex	4	4.1267175	1.9660319999999998	1.6825795000000001
Heart_AtrialAppendage-male-unknown_gtex	Heart_AtrialAppendage	male	unknown	gtex	2	3.429604	1.9177760000000001	1.5966532500000001
WholeBlood-male-white_gtex	WholeBlood	male	white	gtex	427	2.75579	2.030936	1.7620575
MinorSalivaryGland-female-black_or_african_american_gtex	MinorSalivaryGland	female	black_or_african_american	gtex	10	4.0346955	1.9145105	1.6297402499999998
Brain_Spinalcord_cervicalc_1_-female-white_gtex	Brain_Spinalcord_cervicalc_1_	female	white	gtex	51	3.6509129999999996	1.952226	1.6355
Adipose_Visceral_Omentum_-male-asian_gtex	Adipose_Visceral_Omentum_	male	asian	gtex	5	4.4113465000000005	1.9545705	1.6640385000000002
Breast-female-black_or_african_american_tcga	Breast	female	black_or_african_american	tcga	181	4.839585	1.881416	1.507217
Adipose_Visceral_Omentum_-female-unknown_gtex	Adipose_Visceral_Omentum_	female	unknown	gtex	1	4.747342	2.101008	1.649823
Soft_Tissue-female-asian_tcga	Soft_Tissue	female	asian	tcga	6	5.141444999999999	1.8740295	1.5485
Lung-female-white_gtex	Lung	female	white	gtex	154	4.3892955	2.035252	1.709259
Cells_Culturedfibroblasts-male-unknown_gtex	Cells_Culturedfibroblasts	male	unknown	gtex	2	4.56743725	1.9748952499999999	1.671079
Bladder-male-white_gtex	Bladder	male	white	gtex	12	4.434037999999999	2.038317	1.6625480000000001
Brain_Caudate_basalganglia_-female-black_or_african_american_gtex	Brain_Caudate_basalganglia_	female	black_or_african_american	gtex	6	3.137317	1.910504	1.5735995
Colorectal--_tcga	Colorectal			tcga	3	4.9437695	2.0589515	1.56796
Brain_Hypothalamus-male-black_or_african_american_gtex	Brain_Hypothalamus	male	black_or_african_american	gtex	13	3.8760510000000004	2.0288399999999998	1.594989
Prostate-male-white_gtex	Prostate	male	white	gtex	204	4.24353775	2.116739	1.6708184999999998
Artery_Coronary-male-asian_gtex	Artery_Coronary	male	asian	gtex	2	4.5631432499999995	1.9968854999999999	1.631096
WholeBlood-male-asian_gtex	WholeBlood	male	asian	gtex	4	2.7273195	2.12104125	1.80672975
Colorectal-male-not_reported_tcga	Colorectal	male	not_reported	tcga	15	4.884176999999999	1.8943459999999999	1.557353
Uterus-female-black_or_african_american_gtex	Uterus	female	black_or_african_american	gtex	25	4.717013	2.062067	1.7253889999999998
Brain_Spinalcord_cervicalc_1_-female-asian_gtex	Brain_Spinalcord_cervicalc_1_	female	asian	gtex	1	2.5222955000000002	1.836702	1.4953485
Liver-male-black_or_african_american_gtex	Liver	male	black_or_african_american	gtex	16	3.4397124999999997	1.8760385	1.7357885
Cervix-female-black_or_african_american_tcga	Cervix	female	black_or_african_american	tcga	31	4.934554	1.962543	1.5638035000000001
Adipose_Visceral_Omentum_-male-white_gtex	Adipose_Visceral_Omentum_	male	white	gtex	318	4.2277640000000005	1.8765375	1.6463164999999997
Uterus-female-native_hawaiian_or_other_pacific_islander_tcga	Uterus	female	native_hawaiian_or_other_pacific_islander	tcga	3	4.490231	2.080046	1.614225
Esophagus_GastroesophagealJunction-male-asian_gtex	Esophagus_GastroesophagealJunction	male	asian	gtex	4	4.456661499999999	2.064378	1.6907830000000001
Nerve_Tibial-male-unknown_gtex	Nerve_Tibial	male	unknown	gtex	6	4.646426999999999	2.0936105	1.785502
MinorSalivaryGland-male-black_or_african_american_gtex	MinorSalivaryGland	male	black_or_african_american	gtex	17	3.8505565000000006	1.885509	1.585405
Breast_MammaryTissue-male-white_gtex	Breast_MammaryTissue	male	white	gtex	253	4.1405075	1.908432	1.6457165
Prostate-male-asian_gtex	Prostate	male	asian	gtex	3	4.274593	2.053426	1.683761
Esophagus_GastroesophagealJunction-male-american_indian_or_alaska_native_gtex	Esophagus_GastroesophagealJunction	male	american_indian_or_alaska_native	gtex	1	4.6709985	1.9748279999999998	1.600244
Nerve_Tibial-female-unknown_gtex	Nerve_Tibial	female	unknown	gtex	1	4.110025	2.198341	1.777122
Artery_Coronary-male-white_gtex	Artery_Coronary	male	white	gtex	123	4.4659914999999994	1.9773330000000002	1.664889
Bladder-male-black_or_african_american_gtex	Bladder	male	black_or_african_american	gtex	2	4.5271965	2.0538447499999997	1.66101475
AdrenalGland-female-black_or_african_american_gtex	AdrenalGland	female	black_or_african_american	gtex	11	4.213186	1.9028269999999998	1.611011
Soft_Tissue-female-white_tcga	Soft_Tissue	female	white	tcga	115	4.9492575	1.8685080000000003	1.5243349999999998
Lung-female-asian_gtex	Lung	female	asian	gtex	4	4.3695705	2.0665975000000003	1.7276455
FallopianTube-female-white_gtex	FallopianTube	female	white	gtex	7	4.429301000000001	2.129683	1.710777
Breast_MammaryTissue-female-white_gtex	Breast_MammaryTissue	female	white	gtex	136	4.2178995	1.98850125	1.6624504999999998
Brain_Anteriorcingulatecortex_BA24_-male-white_gtex	Brain_Anteriorcingulatecortex_BA24_	male	white	gtex	116	3.49830325	1.93061825	1.578943
Head_and_Neck-male-not_reported_tcga	Head_and_Neck	male	not_reported	tcga	12	4.9054205	1.898529	1.586615
Heart_AtrialAppendage-male-white_gtex	Heart_AtrialAppendage	male	white	gtex	257	3.351546	1.8319849999999998	1.5591110000000001
Adipose_Subcutaneous-female-asian_gtex	Adipose_Subcutaneous	female	asian	gtex	5	4.544725	2.0236115	1.702395
Stomach-female-black_or_african_american_gtex	Stomach	female	black_or_african_american	gtex	17	3.7181205000000004	1.865532	1.5919005
Bone_Marrow-female-not_reported_tcga	Bone_Marrow	female	not_reported	tcga	1	2.9663385	1.9800575	1.806041
Esophagus_Muscularis-male-unknown_gtex	Esophagus_Muscularis	male	unknown	gtex	7	4.5815595	2.037336	1.643778
Esophagus-female-asian_tcga	Esophagus	female	asian	tcga	3	4.658221	1.798878	1.478982
Skin_NotSunExposed_Suprapubic_-female-white_gtex	Skin_NotSunExposed_Suprapubic_	female	white	gtex	159	4.31358	2.098406	1.702907
Brain_Caudate_basalganglia_-female-white_gtex	Brain_Caudate_basalganglia_	female	white	gtex	56	3.230458	1.928769	1.5714009999999998
Lung-male-asian_gtex	Lung	male	asian	gtex	6	4.5677585	2.0637395	1.7336645000000002
Liver-female-not_reported_tcga	Liver	female	not_reported	tcga	3	4.5070005	2.07631	1.809607
Adipose_Subcutaneous-female-white_gtex	Adipose_Subcutaneous	female	white	gtex	182	4.399303	1.9616529999999999	1.7013194999999999
Muscle_Skeletal-male-american_indian_or_alaska_native_gtex	Muscle_Skeletal	male	american_indian_or_alaska_native	gtex	1	3.9485965	2.033587	1.652015
Artery_Tibial-female-unknown_gtex	Artery_Tibial	female	unknown	gtex	1	4.974865	2.06385	1.737874
Breast_MammaryTissue-female-asian_gtex	Breast_MammaryTissue	female	asian	gtex	5	4.311272	2.0378095	1.735372
Heart_AtrialAppendage-male-asian_gtex	Heart_AtrialAppendage	male	asian	gtex	2	3.6583544999999997	1.8280379999999998	1.54920925
Brain-female-black_or_african_american_tcga	Brain	female	black_or_african_american	tcga	16	4.8554255	1.9072445	1.58318725
Brain_Caudate_basalganglia_-female-asian_gtex	Brain_Caudate_basalganglia_	female	asian	gtex	1	3.357414	1.9185915000000002	1.501487
Lung-male-white_gtex	Lung	male	white	gtex	339	4.355575	2.019275	1.7202804999999999
Brain_Hippocampus-male-black_or_african_american_gtex	Brain_Hippocampus	male	black_or_african_american	gtex	12	3.4148907499999996	1.9885030000000001	1.593325
Adrenal_Gland-male-black_or_african_american_tcga	Adrenal_Gland	male	black_or_african_american	tcga	4	4.601944250000001	1.9344554999999999	1.57354225
Esophagus-female-white_tcga	Esophagus	female	white	tcga	18	4.593142500000001	1.78938875	1.42130225
Skin_NotSunExposed_Suprapubic_-female-asian_gtex	Skin_NotSunExposed_Suprapubic_	female	asian	gtex	4	4.01931675	2.0548	1.678955
Lymph_Nodes-male-asian_tcga	Lymph_Nodes	male	asian	tcga	8	4.594467	2.02054275	1.5679605
Muscle_Skeletal-male-white_gtex	Muscle_Skeletal	male	white	gtex	462	3.8934525	1.9428089999999998	1.62753975
Bone_Marrow-male-not_reported_tcga	Bone_Marrow	male	not_reported	tcga	1	2.876468	1.952292	1.925142
Adipose_Subcutaneous-male-american_indian_or_alaska_native_gtex	Adipose_Subcutaneous	male	american_indian_or_alaska_native	gtex	1	4.4540805	2.004554	1.625348
AdrenalGland-male-black_or_african_american_gtex	AdrenalGland	male	black_or_african_american	gtex	17	4.133616	1.8938	1.6061239999999999
Artery_Tibial-female-asian_gtex	Artery_Tibial	female	asian	gtex	5	4.8834645	2.0346010000000003	1.6870479999999999
Eye-male-white_tcga	Eye	male	white	tcga	30	4.729141	2.106602	1.6851349999999998
Brain-male-white_tcga	Brain	male	white	tcga	367	4.886457	1.950364	1.594636
Lung-male-white_tcga	Lung	male	white	tcga	438	4.556197	1.82356075	1.48392125
Bone_Marrow-female-white_tcga	Bone_Marrow	female	white	tcga	60	3.020449	1.830481	1.7015850000000001
WholeBlood-female-white_gtex	WholeBlood	female	white	gtex	215	2.879067	2.0709999999999997	1.8085930000000001
Stomach-female-not_reported_tcga	Stomach	female	not_reported	tcga	16	4.345165	1.7307964999999998	1.45580675
Adrenal_Gland-female-american_indian_or_alaska_native_tcga	Adrenal_Gland	female	american_indian_or_alaska_native	tcga	1	5.5769255	2.01494	1.639895
Muscle_Skeletal-male-asian_gtex	Muscle_Skeletal	male	asian	gtex	7	4.0876475	1.9862145	1.6451189999999998
Adipose_Subcutaneous-female-unknown_gtex	Adipose_Subcutaneous	female	unknown	gtex	1	4.720533	1.930448	1.6312115
Stomach-female-black_or_african_american_tcga	Stomach	female	black_or_african_american	tcga	3	4.394861	1.878573	1.452135
Lymph_Nodes-male-white_tcga	Lymph_Nodes	male	white	tcga	14	4.53225825	2.049588	1.6465285
Lung-male-not_reported_tcga	Lung	male	not_reported	tcga	132	4.52503775	1.86143775	1.4879102499999999
Esophagus_Mucosa-male-unknown_gtex	Esophagus_Mucosa	male	unknown	gtex	5	4.262214999999999	2.00333	1.6454710000000001
Brain-male-asian_tcga	Brain	male	asian	tcga	9	5.163777	1.974627	1.590765
Bone_Marrow-female-asian_tcga	Bone_Marrow	female	asian	tcga	1	3.2828055000000003	1.993124	1.85398
Lung-male-asian_tcga	Lung	male	asian	tcga	10	4.7639335	1.8134915	1.5135679999999998
WholeBlood-female-asian_gtex	WholeBlood	female	asian	gtex	5	2.928945	1.9589395	1.8407040000000001
Esophagus_Mucosa-male-american_indian_or_alaska_native_gtex	Esophagus_Mucosa	male	american_indian_or_alaska_native	gtex	1	4.3032	1.9442430000000002	1.623413
Soft_Tissue-male-white_tcga	Soft_Tissue	male	white	tcga	115	4.9942345	1.953264	1.5626425
Artery_Tibial-female-white_gtex	Artery_Tibial	female	white	gtex	174	4.72558	2.0703007500000004	1.7048459999999999
Kidney_Cortex-male-black_or_african_american_gtex	Kidney_Cortex	male	black_or_african_american	gtex	10	3.8444227500000006	1.8521420000000002	1.58207825
Esophagus_Mucosa-male-black_or_african_american_gtex	Esophagus_Mucosa	male	black_or_african_american	gtex	49	4.194441	1.9561625	1.6540135
Lung-female-not_reported_tcga	Lung	female	not_reported	tcga	47	4.551014	1.888424	1.502681
Prostate-male-american_indian_or_alaska_native_tcga	Prostate	male	american_indian_or_alaska_native	tcga	1	4.777775	2.2373095000000003	1.720464
Colon_Sigmoid-male-black_or_african_american_gtex	Colon_Sigmoid	male	black_or_african_american	gtex	27	4.3607935	2.000191	1.6641540000000001
Esophagus_Mucosa-female-asian_gtex	Esophagus_Mucosa	female	asian	gtex	4	4.2184305	1.922223	1.6423557500000001
Adipose_Visceral_Omentum_-male-american_indian_or_alaska_native_gtex	Adipose_Visceral_Omentum_	male	american_indian_or_alaska_native	gtex	1	4.353868	1.9950095	1.6072294999999999
WholeBlood-male-unknown_gtex	WholeBlood	male	unknown	gtex	5	3.7249480000000004	2.198929	1.872266
Kidney-male-asian_tcga	Kidney	male	asian	tcga	8	4.72521	1.8305435	1.5816355
Spleen-male-american_indian_or_alaska_native_gtex	Spleen	male	american_indian_or_alaska_native	gtex	1	4.830245	2.323707	1.7235234999999998
Brain_Cortex-female-asian_gtex	Brain_Cortex	female	asian	gtex	1	3.882262	2.0083295000000003	1.593787
Colon_Sigmoid-male-asian_gtex	Colon_Sigmoid	male	asian	gtex	2	4.4432555	2.0406865	1.6774615
Pancreas-male-asian_gtex	Pancreas	male	asian	gtex	4	2.9965892499999995	1.84795125	1.5946785
Heart_AtrialAppendage-male-american_indian_or_alaska_native_gtex	Heart_AtrialAppendage	male	american_indian_or_alaska_native	gtex	1	3.335776	1.8466049999999998	1.521139
Brain_Hypothalamus-male-white_gtex	Brain_Hypothalamus	male	white	gtex	133	3.4120209999999997	1.8803	1.5569870000000001
Testis-male-not_reported_tcga	Testis	male	not_reported	tcga	5	4.903443	1.9653040000000002	1.638096
Kidney_Medulla-male-white_gtex	Kidney_Medulla	male	white	gtex	2	3.81098625	2.05249875	1.6036469999999998
Cells_Culturedfibroblasts-male-american_indian_or_alaska_native_gtex	Cells_Culturedfibroblasts	male	american_indian_or_alaska_native	gtex	2	4.807263	1.9589195000000001	1.659213
Spleen-male-asian_gtex	Spleen	male	asian	gtex	3	4.4575165000000005	2.229014	1.765954
Prostate-male-black_or_african_american_gtex	Prostate	male	black_or_african_american	gtex	31	4.3421899999999996	2.1513285	1.681413
Stomach-male-american_indian_or_alaska_native_gtex	Stomach	male	american_indian_or_alaska_native	gtex	1	3.5011265	1.891521	1.62711
Esophagus_Muscularis-male-american_indian_or_alaska_native_gtex	Esophagus_Muscularis	male	american_indian_or_alaska_native	gtex	1	4.433948	2.002222	1.594631
Artery_Tibial-male-black_or_african_american_gtex	Artery_Tibial	male	black_or_african_american	gtex	65	4.776835	2.014119	1.6923789999999999
Liver-female-white_gtex	Liver	female	white	gtex	57	3.458129	1.903314	1.7544455
Artery_Tibial-male-unknown_gtex	Artery_Tibial	male	unknown	gtex	7	4.735893	2.11892	1.724575
Colon_Sigmoid-male-white_gtex	Colon_Sigmoid	male	white	gtex	206	4.396961	2.0216925000000003	1.6764260000000002
Brain_Cortex-female-white_gtex	Brain_Cortex	female	white	gtex	66	3.7363755000000003	1.9805454999999998	1.60604025
Adrenal_Gland-male-not_reported_tcga	Adrenal_Gland	male	not_reported	tcga	7	3.8402744999999996	1.886169	1.520012
Pancreas-male-white_gtex	Pancreas	male	white	gtex	171	2.991807	1.812548	1.580558
Colorectal-female-not_reported_tcga	Colorectal	female	not_reported	tcga	10	4.91684	1.9386660000000002	1.5538530000000002
Esophagus_Muscularis-female-unknown_gtex	Esophagus_Muscularis	female	unknown	gtex	1	4.365998	1.9166905	1.633298
Pituitary-male-black_or_african_american_gtex	Pituitary	male	black_or_african_american	gtex	13	4.184419500000001	2.185505	1.69607
Esophagus_Mucosa-female-white_gtex	Esophagus_Mucosa	female	white	gtex	167	4.25991	1.9468714999999999	1.6486714999999998
Thyroid-male-black_or_african_american_tcga	Thyroid	male	black_or_african_american	tcga	6	5.04764	1.995317	1.60955375
Kidney-male-white_tcga	Kidney	male	white	tcga	504	4.5456865	1.884856	1.5653215
Cells_EBV_transformedlymphocytes-female-unknown_gtex	Cells_EBV_transformedlymphocytes	female	unknown	gtex	1	4.867339	2.0175415	1.6924400000000002
Soft_Tissue-female-black_or_african_american_tcga	Soft_Tissue	female	black_or_african_american	tcga	16	5.11294425	1.87586275	1.57058
Eye-female-white_tcga	Eye	female	white	tcga	25	4.3697875	2.0299955	1.61941
Breast_MammaryTissue-female-black_or_african_american_gtex	Breast_MammaryTissue	female	black_or_african_american	gtex	26	4.31600975	1.97933875	1.6689205
Ovary-female-black_or_african_american_tcga	Ovary	female	black_or_african_american	tcga	25	4.312666500000001	1.8696	1.509185
Liver-female-asian_gtex	Liver	female	asian	gtex	3	3.6824529999999998	1.9420229999999998	1.7424315
Pancreas-female-black_or_african_american_tcga	Pancreas	female	black_or_african_american	tcga	3	4.673517500000001	1.8953925000000003	1.5207915
